Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
India,Cassava,1990,205381,1083,75000.0,25.58
India,Cassava,1990,205381,1083,75000.0,26.88
India,Cassava,1990,205381,1083,75000.0,25.79
India,Cassava,1990,205381,1083,75000.0,24.1
India,Cassava,1990,205381,1083,75000.0,25.25
India,Cassava,1990,205381,1083,75000.0,25.44
India,Cassava,1990,205381,1083,75000.0,25.54
India,Cassava,1990,205381,1083,75000.0,26.36
India,Cassava,1990,205381,1083,75000.0,26.91
India,Cassava,1990,205381,1083,75000.0,25.16
India,Cassava,1990,205381,1083,75000.0,25.77
India,Cassava,1990,205381,1083,75000.0,25.12
India,Cassava,1990,205381,1083,75000.0,24.1
India,Cassava,1990,205381,1083,75000.0,25.68
India,Cassava,1990,205381,1083,75000.0,25.54
India,Cassava,1990,205381,1083,75000.0,25.44
India,Cassava,1990,205381,1083,75000.0,24.78
India,Cassava,1990,205381,1083,75000.0,26.59
India,Cassava,1990,205381,1083,75000.0,24.37
India,Cassava,1990,205381,1083,75000.0,26.63
India,Cassava,1990,205381,1083,75000.0,26.63
India,Cassava,1990,205381,1083,75000.0,25.64
India,Maize,1990,15178,1083,75000.0,25.58
India,Maize,1990,15178,1083,75000.0,26.88
India,Maize,1990,15178,1083,75000.0,25.79
India,Maize,1990,15178,1083,75000.0,24.1
India,Maize,1990,15178,1083,75000.0,25.25
India,Maize,1990,15178,1083,75000.0,25.44
India,Maize,1990,15178,1083,75000.0,25.54
India,Maize,1990,15178,1083,75000.0,26.36
India,Maize,1990,15178,1083,75000.0,26.91
India,Maize,1990,15178,1083,75000.0,25.16
India,Maize,1990,15178,1083,75000.0,25.77
India,Maize,1990,15178,1083,75000.0,25.12
India,Maize,1990,15178,1083,75000.0,24.1
India,Maize,1990,15178,1083,75000.0,25.68
India,Maize,1990,15178,1083,75000.0,25.54
India,Maize,1990,15178,1083,75000.0,25.44
India,Maize,1990,15178,1083,75000.0,24.78
India,Maize,1990,15178,1083,75000.0,26.59
India,Maize,1990,15178,1083,75000.0,24.37
India,Maize,1990,15178,1083,75000.0,26.63
India,Maize,1990,15178,1083,75000.0,26.63
India,Maize,1990,15178,1083,75000.0,25.64
India,Potatoes,1990,157136,1083,75000.0,25.58
India,Potatoes,1990,157136,1083,75000.0,26.88
India,Potatoes,1990,157136,1083,75000.0,25.79
India,Potatoes,1990,157136,1083,75000.0,24.1
India,Potatoes,1990,157136,1083,75000.0,25.25
India,Potatoes,1990,157136,1083,75000.0,25.44
India,Potatoes,1990,157136,1083,75000.0,25.54
India,Potatoes,1990,157136,1083,75000.0,26.36
India,Potatoes,1990,157136,1083,75000.0,26.91
India,Potatoes,1990,157136,1083,75000.0,25.16
India,Potatoes,1990,157136,1083,75000.0,25.77
India,Potatoes,1990,157136,1083,75000.0,25.12
India,Potatoes,1990,157136,1083,75000.0,24.1
India,Potatoes,1990,157136,1083,75000.0,25.68
India,Potatoes,1990,157136,1083,75000.0,25.54
India,Potatoes,1990,157136,1083,75000.0,25.44
India,Potatoes,1990,157136,1083,75000.0,24.78
India,Potatoes,1990,157136,1083,75000.0,26.59
India,Potatoes,1990,157136,1083,75000.0,24.37
India,Potatoes,1990,157136,1083,75000.0,26.63
India,Potatoes,1990,157136,1083,75000.0,26.63
India,Potatoes,1990,157136,1083,75000.0,25.64
India,"Rice, paddy",1990,26125,1083,75000.0,25.58
India,"Rice, paddy",1990,26125,1083,75000.0,26.88
India,"Rice, paddy",1990,26125,1083,75000.0,25.79
India,"Rice, paddy",1990,26125,1083,75000.0,24.1
India,"Rice, paddy",1990,26125,1083,75000.0,25.25
India,"Rice, paddy",1990,26125,1083,75000.0,25.44
India,"Rice, paddy",1990,26125,1083,75000.0,25.54
India,"Rice, paddy",1990,26125,1083,75000.0,26.36
India,"Rice, paddy",1990,26125,1083,75000.0,26.91
India,"Rice, paddy",1990,26125,1083,75000.0,25.16
India,"Rice, paddy",1990,26125,1083,75000.0,25.77
India,"Rice, paddy",1990,26125,1083,75000.0,25.12
India,"Rice, paddy",1990,26125,1083,75000.0,24.1
India,"Rice, paddy",1990,26125,1083,75000.0,25.68
India,"Rice, paddy",1990,26125,1083,75000.0,25.54
India,"Rice, paddy",1990,26125,1083,75000.0,25.44
India,"Rice, paddy",1990,26125,1083,75000.0,24.78
India,"Rice, paddy",1990,26125,1083,75000.0,26.59
India,"Rice, paddy",1990,26125,1083,75000.0,24.37
India,"Rice, paddy",1990,26125,1083,75000.0,26.63
India,"Rice, paddy",1990,26125,1083,75000.0,26.63
India,"Rice, paddy",1990,26125,1083,75000.0,25.64
India,Sorghum,1990,8136,1083,75000.0,25.58
India,Sorghum,1990,8136,1083,75000.0,26.88
India,Sorghum,1990,8136,1083,75000.0,25.79
India,Sorghum,1990,8136,1083,75000.0,24.1
India,Sorghum,1990,8136,1083,75000.0,25.25
India,Sorghum,1990,8136,1083,75000.0,25.44
India,Sorghum,1990,8136,1083,75000.0,25.54
India,Sorghum,1990,8136,1083,75000.0,26.36
India,Sorghum,1990,8136,1083,75000.0,26.91
India,Sorghum,1990,8136,1083,75000.0,25.16
India,Sorghum,1990,8136,1083,75000.0,25.77
India,Sorghum,1990,8136,1083,75000.0,25.12
India,Sorghum,1990,8136,1083,75000.0,24.1
India,Sorghum,1990,8136,1083,75000.0,25.68
India,Sorghum,1990,8136,1083,75000.0,25.54
India,Sorghum,1990,8136,1083,75000.0,25.44
India,Sorghum,1990,8136,1083,75000.0,24.78
India,Sorghum,1990,8136,1083,75000.0,26.59
India,Sorghum,1990,8136,1083,75000.0,24.37
India,Sorghum,1990,8136,1083,75000.0,26.63
India,Sorghum,1990,8136,1083,75000.0,26.63
India,Sorghum,1990,8136,1083,75000.0,25.64
India,Soybeans,1990,10145,1083,75000.0,25.58
India,Soybeans,1990,10145,1083,75000.0,26.88
India,Soybeans,1990,10145,1083,75000.0,25.79
India,Soybeans,1990,10145,1083,75000.0,24.1
India,Soybeans,1990,10145,1083,75000.0,25.25
India,Soybeans,1990,10145,1083,75000.0,25.44
India,Soybeans,1990,10145,1083,75000.0,25.54
India,Soybeans,1990,10145,1083,75000.0,26.36
India,Soybeans,1990,10145,1083,75000.0,26.91
India,Soybeans,1990,10145,1083,75000.0,25.16
India,Soybeans,1990,10145,1083,75000.0,25.77
India,Soybeans,1990,10145,1083,75000.0,25.12
India,Soybeans,1990,10145,1083,75000.0,24.1
India,Soybeans,1990,10145,1083,75000.0,25.68
India,Soybeans,1990,10145,1083,75000.0,25.54
India,Soybeans,1990,10145,1083,75000.0,25.44
India,Soybeans,1990,10145,1083,75000.0,24.78
India,Soybeans,1990,10145,1083,75000.0,26.59
India,Soybeans,1990,10145,1083,75000.0,24.37
India,Soybeans,1990,10145,1083,75000.0,26.63
India,Soybeans,1990,10145,1083,75000.0,26.63
India,Soybeans,1990,10145,1083,75000.0,25.64
India,Sweet potatoes,1990,79663,1083,75000.0,25.58
India,Sweet potatoes,1990,79663,1083,75000.0,26.88
India,Sweet potatoes,1990,79663,1083,75000.0,25.79
India,Sweet potatoes,1990,79663,1083,75000.0,24.1
India,Sweet potatoes,1990,79663,1083,75000.0,25.25
India,Sweet potatoes,1990,79663,1083,75000.0,25.44
India,Sweet potatoes,1990,79663,1083,75000.0,25.54
India,Sweet potatoes,1990,79663,1083,75000.0,26.36
India,Sweet potatoes,1990,79663,1083,75000.0,26.91
India,Sweet potatoes,1990,79663,1083,75000.0,25.16
India,Sweet potatoes,1990,79663,1083,75000.0,25.77
India,Sweet potatoes,1990,79663,1083,75000.0,25.12
India,Sweet potatoes,1990,79663,1083,75000.0,24.1
India,Sweet potatoes,1990,79663,1083,75000.0,25.68
India,Sweet potatoes,1990,79663,1083,75000.0,25.54
India,Sweet potatoes,1990,79663,1083,75000.0,25.44
India,Sweet potatoes,1990,79663,1083,75000.0,24.78
India,Sweet potatoes,1990,79663,1083,75000.0,26.59
India,Sweet potatoes,1990,79663,1083,75000.0,24.37
India,Sweet potatoes,1990,79663,1083,75000.0,26.63
India,Sweet potatoes,1990,79663,1083,75000.0,26.63
India,Sweet potatoes,1990,79663,1083,75000.0,25.64
India,Wheat,1990,21211,1083,75000.0,25.58
India,Wheat,1990,21211,1083,75000.0,26.88
India,Wheat,1990,21211,1083,75000.0,25.79
India,Wheat,1990,21211,1083,75000.0,24.1
India,Wheat,1990,21211,1083,75000.0,25.25
India,Wheat,1990,21211,1083,75000.0,25.44
India,Wheat,1990,21211,1083,75000.0,25.54
India,Wheat,1990,21211,1083,75000.0,26.36
India,Wheat,1990,21211,1083,75000.0,26.91
India,Wheat,1990,21211,1083,75000.0,25.16
India,Wheat,1990,21211,1083,75000.0,25.77
India,Wheat,1990,21211,1083,75000.0,25.12
India,Wheat,1990,21211,1083,75000.0,24.1
India,Wheat,1990,21211,1083,75000.0,25.68
India,Wheat,1990,21211,1083,75000.0,25.54
India,Wheat,1990,21211,1083,75000.0,25.44
India,Wheat,1990,21211,1083,75000.0,24.78
India,Wheat,1990,21211,1083,75000.0,26.59
India,Wheat,1990,21211,1083,75000.0,24.37
India,Wheat,1990,21211,1083,75000.0,26.63
India,Wheat,1990,21211,1083,75000.0,26.63
India,Wheat,1990,21211,1083,75000.0,25.64
India,Cassava,1991,218925,1083,72133.0,25.85
India,Cassava,1991,218925,1083,72133.0,26.9
India,Cassava,1991,218925,1083,72133.0,25.96
India,Cassava,1991,218925,1083,72133.0,23.77
India,Cassava,1991,218925,1083,72133.0,25.49
India,Cassava,1991,218925,1083,72133.0,25.82
India,Cassava,1991,218925,1083,72133.0,25.74
India,Cassava,1991,218925,1083,72133.0,26.54
India,Cassava,1991,218925,1083,72133.0,27.35
India,Cassava,1991,218925,1083,72133.0,25.4
India,Cassava,1991,218925,1083,72133.0,25.99
India,Cassava,1991,218925,1083,72133.0,25.32
India,Cassava,1991,218925,1083,72133.0,23.77
India,Cassava,1991,218925,1083,72133.0,26.2
India,Cassava,1991,218925,1083,72133.0,25.74
India,Cassava,1991,218925,1083,72133.0,25.55
India,Cassava,1991,218925,1083,72133.0,25.06
India,Cassava,1991,218925,1083,72133.0,26.34
India,Cassava,1991,218925,1083,72133.0,24.62
India,Cassava,1991,218925,1083,72133.0,26.7
India,Cassava,1991,218925,1083,72133.0,26.7
India,Cassava,1991,218925,1083,72133.0,25.74
India,Maize,1991,13763,1083,72133.0,25.85
India,Maize,1991,13763,1083,72133.0,26.9
India,Maize,1991,13763,1083,72133.0,25.96
India,Maize,1991,13763,1083,72133.0,23.77
India,Maize,1991,13763,1083,72133.0,25.49
India,Maize,1991,13763,1083,72133.0,25.82
India,Maize,1991,13763,1083,72133.0,25.74
India,Maize,1991,13763,1083,72133.0,26.54
India,Maize,1991,13763,1083,72133.0,27.35
India,Maize,1991,13763,1083,72133.0,25.4
India,Maize,1991,13763,1083,72133.0,25.99
India,Maize,1991,13763,1083,72133.0,25.32
India,Maize,1991,13763,1083,72133.0,23.77
India,Maize,1991,13763,1083,72133.0,26.2
India,Maize,1991,13763,1083,72133.0,25.74
India,Maize,1991,13763,1083,72133.0,25.55
India,Maize,1991,13763,1083,72133.0,25.06
India,Maize,1991,13763,1083,72133.0,26.34
India,Maize,1991,13763,1083,72133.0,24.62
India,Maize,1991,13763,1083,72133.0,26.7
India,Maize,1991,13763,1083,72133.0,26.7
India,Maize,1991,13763,1083,72133.0,25.74
India,Potatoes,1991,162540,1083,72133.0,25.85
India,Potatoes,1991,162540,1083,72133.0,26.9
India,Potatoes,1991,162540,1083,72133.0,25.96
India,Potatoes,1991,162540,1083,72133.0,23.77
India,Potatoes,1991,162540,1083,72133.0,25.49
India,Potatoes,1991,162540,1083,72133.0,25.82
India,Potatoes,1991,162540,1083,72133.0,25.74
India,Potatoes,1991,162540,1083,72133.0,26.54
India,Potatoes,1991,162540,1083,72133.0,27.35
India,Potatoes,1991,162540,1083,72133.0,25.4
India,Potatoes,1991,162540,1083,72133.0,25.99
India,Potatoes,1991,162540,1083,72133.0,25.32
India,Potatoes,1991,162540,1083,72133.0,23.77
India,Potatoes,1991,162540,1083,72133.0,26.2
India,Potatoes,1991,162540,1083,72133.0,25.74
India,Potatoes,1991,162540,1083,72133.0,25.55
India,Potatoes,1991,162540,1083,72133.0,25.06
India,Potatoes,1991,162540,1083,72133.0,26.34
India,Potatoes,1991,162540,1083,72133.0,24.62
India,Potatoes,1991,162540,1083,72133.0,26.7
India,Potatoes,1991,162540,1083,72133.0,26.7
India,Potatoes,1991,162540,1083,72133.0,25.74
India,"Rice, paddy",1991,26271,1083,72133.0,25.85
India,"Rice, paddy",1991,26271,1083,72133.0,26.9
India,"Rice, paddy",1991,26271,1083,72133.0,25.96
India,"Rice, paddy",1991,26271,1083,72133.0,23.77
India,"Rice, paddy",1991,26271,1083,72133.0,25.49
India,"Rice, paddy",1991,26271,1083,72133.0,25.82
India,"Rice, paddy",1991,26271,1083,72133.0,25.74
